#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.11698     0.11698           0
           2    0.134623    0.125801  0.00623762
           3    0.090916    0.114173   0.0103653
           4    0.097656    0.110044  0.00855702
           5    0.125424     0.11312  0.00737782
           6    0.114164    0.113294  0.00615024
           7    0.109445    0.112744  0.00529615
           8    0.115104    0.113039  0.00464234
           9    0.123803    0.114235   0.0042778
          10    0.102879    0.113099  0.00399792
          11    0.103213    0.112201  0.00373412
          12     0.10366    0.111489  0.00349011
          13    0.114053    0.111686  0.00322721
          14    0.094248    0.110441  0.00322813
          15    0.104221    0.110026  0.00303943
          16    0.129847    0.111265  0.00309163
          17   0.0887547    0.109941  0.00318071
          18    0.115255    0.110236  0.00301767
          19    0.103384    0.109875  0.00288032
          20    0.124455    0.110604  0.00282704
          21    0.106531     0.11041  0.00269907
          22    0.116599    0.110692    0.002591
          23    0.090416     0.10981  0.00262403
          24    0.101228    0.109452  0.00253894
          25   0.0851053    0.108479  0.00261751
          26    0.115589    0.108752  0.00253109
          27    0.129387    0.109516  0.00255011
          28    0.104663    0.109343  0.00246492
          29    0.117852    0.109636  0.00239732
          30    0.136191    0.110521  0.00247543
          31    0.105224    0.110351  0.00240147
          32    0.103087    0.110124  0.00233713
          33    0.114387    0.110253  0.00226987
          34    0.109519    0.110231  0.00220322
          35     0.10068    0.109958   0.0021571
          36    0.115756    0.110119  0.00210319
          37   0.0883987    0.109532  0.00212669
          38   0.0944427    0.109135  0.00210747
          39    0.102516    0.108965  0.00206026
          40     0.10018    0.108746  0.00202043
          41   0.0946533    0.108402  0.00200017
          42    0.106404    0.108355  0.00195311
          43    0.115243    0.108515  0.00191425
          44    0.090284      0.1081  0.00191506
          45    0.118628    0.108334  0.00188674
          46     0.12036    0.108596  0.00186375
          47      0.1194    0.108826  0.00183821
          48    0.113033    0.108913  0.00180201
          49    0.116456    0.109067  0.00177179
          50    0.111312    0.109112  0.00173693
