#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.82482     5.82482           0
           2      5.9535     5.88916   0.0454948
           3     5.46035     5.74622    0.120583
           4     5.69399     5.73316   0.0911417
           5     5.38485      5.6635   0.0959095
           6     5.54993     5.64457   0.0817711
           7     5.20686     5.58204   0.0909067
           8     5.53908     5.57667   0.0797019
           9     5.37792     5.55459    0.073842
          10      5.5132     5.55045   0.0665737
          11     5.72591      5.5664   0.0624031
          12     5.62731     5.57148   0.0574089
          13      5.7234     5.58316   0.0541692
          14      5.3433     5.56603   0.0529402
          15      5.9157     5.58934   0.0543012
          16     5.25309     5.56832   0.0548234
          17     5.41411     5.55925   0.0523437
          18     5.61759     5.56249   0.0495359
          19     5.53908     5.56126   0.0469441
          20     5.61087     5.56374   0.0446624
          21     5.71091     5.57075   0.0430819
          22     5.52641     5.56874   0.0411708
          23     5.50925     5.56615   0.0394619
          24      5.7729     5.57476   0.0387465
          25     5.63972     5.57736   0.0372837
          26     5.55624     5.57655   0.0358586
          27     5.80452     5.58499   0.0355106
          28     5.83043     5.59376   0.0353077
          29     5.71041     5.59778   0.0343185
          30     5.67702     5.60042    0.033276
          31     5.45872     5.59585   0.0325151
          32     5.50914     5.59314   0.0316117
          33     5.67389     5.59559   0.0307483
          34      5.8189     5.60216   0.0305374
          35     5.51867     5.59977   0.0297579
          36     5.85133     5.60676   0.0297404
          37     5.32489     5.59914   0.0298964
          38     5.47326     5.59583   0.0292926
          39     5.31352     5.58859   0.0294223
          40     5.54339     5.58746   0.0287084
          41      5.5156     5.58571   0.0280617
          42     5.29263     5.57873   0.0282478
          43     5.83485     5.58468   0.0282118
          44     5.54862     5.58387   0.0275826
          45     5.58856     5.58397   0.0269698
          46     5.35235     5.57893   0.0268494
          47     5.83058     5.58429   0.0268067
          48     5.78844     5.58854   0.0265835
          49     5.94573     5.59583    0.027022
          50     5.39914      5.5919   0.0267663
