#   N_BLOCK:  ACCEPTANCE:
           1    0.516891
           2    0.517532
           3    0.517327
           4    0.517602
           5    0.517295
           6    0.517458
           7    0.517355
           8    0.517355
           9    0.517322
          10    0.517437
          11    0.517411
          12    0.517464
          13    0.517431
          14    0.517391
          15    0.517424
          16    0.517447
          17     0.51749
          18    0.517507
          19     0.51744
          20    0.517487
          21    0.517462
          22    0.517427
          23    0.517438
          24    0.517393
          25    0.517377
          26    0.517349
          27    0.517353
          28    0.517289
          29    0.517257
          30    0.517267
          31    0.517302
          32    0.517342
          33     0.51735
          34    0.517354
          35    0.517315
          36    0.517323
          37    0.517311
          38    0.517309
          39    0.517302
          40    0.517335
          41    0.517313
          42    0.517301
          43    0.517301
          44    0.517288
          45    0.517295
          46    0.517286
          47    0.517284
          48    0.517292
          49    0.517269
          50    0.517278
