#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.216512    0.216512           0
           2    0.212964    0.214738   0.0012544
           3    0.210373    0.213283  0.00145277
           4     0.20908    0.212233  0.00141957
           5     0.21378    0.212542  0.00116889
           6    0.213379    0.212681 0.000982358
           7     0.21488    0.212996 0.000890838
           8    0.212954     0.21299 0.000779498
           9    0.215074    0.213222 0.000726451
          10    0.211892    0.213089 0.000665865
          11    0.210712    0.212873 0.000639428
          12    0.209062    0.212555 0.000660306
          13     0.21482    0.212729 0.000632083
          14    0.214234    0.212837 0.000596002
          15    0.213041    0.212851 0.000556424
          16     0.21277    0.212846  0.00052167
          17    0.211675    0.212777 0.000495506
          18    0.210527    0.212652 0.000483489
          19    0.210791    0.212554  0.00046785
          20    0.215307    0.212691 0.000464272
          21    0.212835    0.212698 0.000442214
          22    0.210638    0.212605 0.000431915
          23    0.212267     0.21259 0.000413386
          24    0.215703     0.21272 0.000416014
          25    0.210921    0.212648 0.000405548
          26    0.212226    0.212631 0.000390275
          27    0.212262    0.212618  0.00037606
          28    0.209198    0.212496 0.000381949
          29    0.211733    0.212469 0.000369683
          30    0.212486     0.21247 0.000357361
          31    0.214417    0.212533 0.000351306
          32    0.211657    0.212505 0.000341391
          33    0.211911    0.212487 0.000331521
          34    0.209045    0.212386 0.000336873
          35    0.212857      0.2124 0.000327516
          36    0.211095    0.212363 0.000320417
          37    0.212842    0.212376 0.000312018
          38    0.210633     0.21233 0.000307163
          39     0.21589    0.212422 0.000312556
          40    0.211073    0.212388 0.000306556
          41    0.212497    0.212391 0.000299091
          42    0.213082    0.212407 0.000292422
          43    0.214039    0.212445 0.000288074
          44    0.211969    0.212434  0.00028173
          45    0.215685    0.212506 0.000284583
          46    0.213421    0.212526  0.00027909
          47    0.213059    0.212538 0.000273382
          48    0.215285    0.212595 0.000273614
          49    0.211205    0.212567 0.000269497
          50    0.210801    0.212531 0.000266411
