#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.50495     1.50495           0
           2     1.48925      1.4971  0.00555364
           3     1.53868     1.51096    0.011907
           4     1.47243     1.50133   0.0122199
           5     1.52027     1.50512   0.0103465
           6     1.52767     1.50888  0.00927957
           7      1.5064     1.50852  0.00796063
           8     1.51154      1.5089  0.00697445
           9     1.56097     1.51468  0.00825734
          10     1.49076     1.51229  0.00777052
          11     1.49878     1.51106   0.0071605
          12     1.48822     1.50916  0.00681219
          13     1.50465     1.50881  0.00629702
          14     1.49925     1.50813  0.00588415
          15     1.49561     1.50729  0.00555073
          16     1.48284     1.50577  0.00541021
          17     1.50488     1.50571  0.00509221
          18     1.50048     1.50542   0.0048176
          19      1.4885     1.50453  0.00464564
          20     1.49666     1.50414  0.00442999
          21     1.50897     1.50437    0.004225
          22     1.47301     1.50294  0.00426664
          23     1.46965      1.5015  0.00431969
          24     1.49941     1.50141  0.00414058
          25     1.49302     1.50107  0.00398854
          26      1.5107     1.50144  0.00385228
          27     1.51877     1.50209  0.00376271
          28     1.52848     1.50303  0.00374454
          29     1.52117     1.50365  0.00366732
          30     1.53892     1.50483  0.00372869
          31     1.48382     1.50415  0.00366947
          32     1.50359     1.50413  0.00355484
          33     1.51586     1.50449  0.00346483
          34     1.49975     1.50435  0.00336573
          35     1.52616     1.50497  0.00332673
          36     1.52101     1.50542  0.00326401
          37     1.51073     1.50556  0.00317894
          38        1.52     1.50594  0.00311792
          39     1.49194     1.50558  0.00305857
          40     1.50668     1.50561  0.00298223
          41     1.50595     1.50562   0.0029095
          42     1.47768     1.50495  0.00291528
          43     1.53897     1.50574  0.00295285
          44     1.50211     1.50566  0.00288689
          45     1.49703     1.50547   0.0028291
          46     1.51819     1.50575  0.00278107
          47     1.50581     1.50575   0.0027219
          48     1.50751     1.50578  0.00266544
          49     1.50535     1.50578  0.00261106
          50     1.51475     1.50596  0.00256499
