#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.443808    0.443808           0
           2    0.408443    0.426126   0.0125034
           3     0.38723     0.41316   0.0134741
           4    0.435646    0.418782    0.011217
           5    0.399128    0.414851  0.00963771
           6    0.424094    0.416392  0.00815362
           7    0.394536    0.413269  0.00756303
           8    0.414778    0.413458     0.00662
           9    0.442515    0.416686  0.00662511
          10    0.416162    0.416634  0.00596281
          11    0.439073    0.418674   0.0057591
          12    0.401187    0.417217  0.00546042
          13    0.396148    0.415596  0.00527543
          14    0.408927     0.41512  0.00492008
          15    0.452781     0.41763  0.00519335
          16    0.433125    0.418599  0.00495823
          17    0.400152    0.417514  0.00478384
          18    0.412157    0.417216  0.00452732
          19    0.383694    0.415452  0.00462005
          20    0.420544    0.415706  0.00439606
          21    0.414105     0.41563  0.00418739
          22    0.437644    0.416631  0.00411488
          23    0.417958    0.416689  0.00393637
          24    0.414382    0.416592  0.00377353
          25    0.409307    0.416301  0.00363382
          26    0.423926    0.416594  0.00350588
          27    0.418397    0.416661  0.00337666
          28    0.426249    0.417004  0.00327339
          29    0.416715    0.416994  0.00316053
          30    0.418183    0.417033  0.00305543
          31    0.431229    0.417491  0.00299098
          32    0.434339    0.418018  0.00294349
          33    0.437573     0.41861  0.00291333
          34     0.41906    0.418623  0.00282767
          35    0.431586    0.418994  0.00277103
          36    0.437801    0.419516  0.00274286
          37    0.427042     0.41972  0.00267626
          38    0.409998    0.419464  0.00261803
          39    0.429475     0.41972  0.00256346
          40     0.41364    0.419568  0.00250387
          41    0.408158     0.41929  0.00245822
          42    0.419436    0.419294  0.00239969
          43    0.425814    0.419445  0.00234867
          44    0.433395    0.419762  0.00231659
          45    0.427074    0.419925   0.0022708
          46    0.420253    0.419932  0.00222145
          47    0.430609    0.420159  0.00218577
          48    0.436964    0.420509  0.00216809
          49    0.437636    0.420859  0.00215183
          50     0.43521    0.421146  0.00212785
