#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.205673    0.205673           0
           2    0.234864    0.220269   0.0103205
           3    0.177523     0.20602   0.0135162
           4    0.169563    0.196906   0.0128478
           5    0.215716    0.200668    0.010815
           6    0.183756    0.197849  0.00937261
           7    0.203001    0.198585  0.00806251
           8    0.197663     0.19847  0.00705552
           9    0.218787    0.200727  0.00662287
          10    0.202923    0.200947  0.00596422
          11    0.179795    0.199024  0.00572362
          12    0.187341     0.19805   0.0053288
          13     0.19042    0.197463  0.00495111
          14    0.192723    0.197125  0.00460903
          15    0.209557    0.197954  0.00437565
          16    0.237483    0.200424  0.00474869
          17    0.211397     0.20107  0.00451301
          18    0.224573    0.202375  0.00444718
          19    0.203768    0.202449  0.00421372
          20    0.249925    0.204823  0.00462359
          21    0.186309    0.203941  0.00448668
          22    0.212128    0.204313  0.00429814
          23    0.173496    0.202973  0.00431506
          24    0.210435    0.203284  0.00414645
          25    0.150544    0.201175  0.00448526
          26    0.212232      0.2016  0.00433286
          27     0.23614    0.202879  0.00435714
          28    0.208363    0.203075  0.00420593
          29    0.214908    0.203483  0.00408064
          30    0.208152    0.203639  0.00394759
          31    0.207304    0.203757  0.00382202
          32    0.214909    0.204105  0.00371844
          33    0.200324    0.203991  0.00360752
          34    0.219661    0.204452  0.00353074
          35    0.186384    0.203935  0.00346739
          36    0.179389    0.203254  0.00343746
          37    0.182691    0.202698  0.00338918
          38    0.162707    0.201645  0.00345953
          39    0.214067    0.201964  0.00338546
          40    0.199181    0.201894  0.00330153
          41    0.163631    0.200961  0.00335032
          42    0.193812    0.200791  0.00327487
          43    0.209527    0.200994    0.003205
          44    0.155252    0.199954  0.00329646
          45    0.204793    0.200062  0.00322496
          46    0.207924    0.200233  0.00315938
          47    0.220471    0.200663  0.00312136
          48    0.211313    0.200885  0.00306421
          49    0.178391    0.200426  0.00303587
          50    0.192061    0.200259  0.00297975
