#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.0426     10.0426           0
           2     9.68983     9.86619    0.124704
           3     10.1372     9.95652    0.111137
           4     10.5394     10.1022     0.15124
           5      10.081      10.098    0.121052
           6     10.6329     10.1871     0.12961
           7     10.2526     10.1965    0.111431
           8     9.97247     10.1685    0.100959
           9     9.34189     10.0766    0.124705
          10     10.3942     10.1084    0.116207
          11     10.5821     10.1515    0.113341
          12     9.78893     10.1212    0.107847
          13     10.0225     10.1136   0.0998178
          14     9.42395     10.0644    0.104138
          15     10.1961     10.0732   0.0975649
          16     8.83128     9.99555    0.118382
          17      10.945     10.0514    0.123895
          18     10.1102     10.0547    0.117055
          19     10.3955     10.0726     0.11226
          20     9.95284     10.0666    0.106807
          21      10.284      10.077    0.102221
          22     10.5582     10.0988   0.0998878
          23     10.5286     10.1175   0.0972772
          24     10.3036     10.1253   0.0935324
          25     10.5421      10.142   0.0912652
          26     9.92963     10.1338   0.0881196
          27     10.9806     10.1651   0.0902646
          28     10.7051     10.1844   0.0890767
          29     10.7257     10.2031   0.0879385
          30      10.605     10.2165   0.0860216
          31     10.4745     10.2248   0.0836484
          32     10.0491     10.2193   0.0812144
          33     10.6687     10.2329   0.0798869
          34     9.87721     10.2225   0.0782195
          35     9.90521     10.2134   0.0765081
          36     10.7177     10.2274   0.0756544
          37     9.59355     10.2103   0.0755245
          38     9.77862     10.1989   0.0743865
          39     10.4969     10.2066   0.0728703
          40     10.1768     10.2058   0.0710523
          41     9.61256     10.1914   0.0707774
          42     9.74984     10.1808   0.0698686
          43     10.6978     10.1929   0.0692705
          44     10.2738     10.1947   0.0677206
          45      10.636     10.2045   0.0669219
          46     9.79542     10.1956   0.0660553
          47     10.3614     10.1991    0.064744
          48      10.253     10.2003   0.0634049
          49     9.76879     10.1915   0.0627194
          50     10.2389     10.1924   0.0614722
