#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.925109    0.925109           0
           2    0.850469    0.887789   0.0263892
           3    0.829788    0.868456   0.0236369
           4    0.867079    0.868111   0.0177302
           5    0.852395    0.864968   0.0144601
           6    0.933803     0.87644   0.0159651
           7    0.905641    0.880612    0.014219
           8    0.914103    0.884798   0.0130433
           9    0.920119    0.888723   0.0121701
          10    0.888131    0.888664   0.0109533
          11    0.939224     0.89326   0.0108793
          12    0.872499     0.89153   0.0101093
          13    0.928908    0.894405  0.00973195
          14    0.942703    0.897855  0.00962887
          15    0.901277    0.898083  0.00898965
          16    0.954041     0.90158  0.00908267
          17    0.794452    0.895279   0.0105095
          18    0.852671    0.892912   0.0101888
          19    0.921309    0.894406  0.00976152
          20    0.921056    0.895739  0.00936395
          21    0.815293    0.891908  0.00966992
          22    0.952492    0.894662   0.0096145
          23    0.902849    0.895018  0.00920307
          24    0.935488    0.896704  0.00897276
          25    0.925055    0.897838  0.00868522
          26    0.864415    0.896553  0.00844577
          27    0.903921    0.896826  0.00813737
          28    0.902207    0.897018  0.00784902
          29    0.814856    0.894185  0.00807351
          30    0.911003    0.894745  0.00782384
          31    0.854437    0.893445  0.00767874
          32    0.904361    0.893786  0.00744635
          33    0.919736    0.894572  0.00726211
          34    0.869075    0.893822  0.00708713
          35    0.937392    0.895067  0.00699312
          36    0.864815    0.894227  0.00684917
          37    0.826131    0.892387   0.0069069
          38    0.933303    0.893463  0.00680855
          39    0.916936    0.894065  0.00666052
          40     0.94816    0.895417  0.00662988
          41    0.865327    0.894684  0.00650868
          42     0.86788    0.894045  0.00638492
          43    0.917523    0.894591  0.00625973
          44    0.924932    0.895281  0.00615533
          45    0.804964    0.893274  0.00633732
          46    0.936236    0.894208  0.00626799
          47    0.913161    0.894611  0.00614759
          48    0.884352    0.894397  0.00602323
          49    0.924765    0.895017   0.0059321
          50    0.881581    0.894748  0.00581954
