#   N_BLOCK:  ACCEPTANCE:
           1    0.025928
           2    0.027842
           3   0.0274902
           4   0.0274703
           5   0.0277512
           6   0.0271327
           7    0.026294
           8   0.0260362
           9   0.0260299
          10   0.0260607
          11   0.0255139
          12   0.0258472
          13   0.0258644
          14    0.025906
          15   0.0258333
          16   0.0258184
          17   0.0260835
          18    0.026036
          19   0.0261392
          20   0.0261856
          21    0.026411
          22   0.0263419
          23   0.0260997
          24    0.026162
          25    0.026009
          26   0.0261478
          27   0.0260959
          28   0.0261458
          29   0.0259469
          30    0.025998
          31   0.0259263
          32   0.0258856
          33   0.0259016
          34   0.0258353
          35   0.0258235
          36   0.0257702
          37   0.0257378
          38   0.0257588
          39   0.0257844
          40   0.0258294
          41   0.0257508
          42     0.02577
          43   0.0256117
          44   0.0255533
          45    0.025505
          46   0.0254343
          47   0.0254251
          48   0.0253239
          49   0.0254041
          50   0.0254252
