#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.88426     1.88426           0
           2     1.89347     1.88886  0.00325602
           3     1.87625     1.88466   0.0040618
           4     1.90056     1.88863   0.0045965
           5     1.93206     1.89732  0.00859494
           6     1.90242     1.89817  0.00720433
           7     1.88024     1.89561  0.00661484
           8     1.88588     1.89439   0.0058987
           9      1.8471     1.88914  0.00721365
          10     1.85347     1.88557  0.00732112
          11     1.88958     1.88593  0.00666465
          12     1.90338     1.88739  0.00626574
          13     1.84927     1.88446  0.00643349
          14     1.89905      1.8855  0.00605787
          15     1.96003     1.89047  0.00741691
          16     1.86457     1.88885  0.00712772
          17     1.93662     1.89166  0.00724131
          18     1.96028     1.89547  0.00777799
          19     1.93032     1.89731  0.00758185
          20     1.86969     1.89592   0.0073274
          21     1.85261     1.89386  0.00726296
          22     1.88375      1.8934  0.00694736
          23     1.93902     1.89539  0.00692258
          24     1.96888     1.89845  0.00727996
          25     1.86948     1.89729  0.00708039
          26     1.89262     1.89711  0.00681034
          27     1.97085     1.89984  0.00708456
          28     1.91491     1.90038  0.00685195
          29     1.90947     1.90069  0.00662284
          30      1.9292     1.90164  0.00646991
          31      1.9037     1.90171  0.00626154
          32     1.93621     1.90279  0.00615797
          33     1.95358     1.90433  0.00616069
          34     1.96018     1.90597  0.00619468
          35     1.88957      1.9055  0.00603537
          36     1.94597     1.90662  0.00597152
          37     1.91801     1.90693  0.00581805
          38     1.87908      1.9062  0.00571093
          39     1.87058     1.90529  0.00563706
          40     1.87626     1.90456  0.00554266
          41     1.92244       1.905   0.0054246
          42      1.8949     1.90476  0.00530077
          43     1.98123     1.90653  0.00546767
          44     1.88243     1.90599  0.00537079
          45     1.91084     1.90609  0.00525252
          46     1.91663     1.90632  0.00514333
          47     1.90314     1.90626  0.00503434
          48     1.91856     1.90651  0.00493598
          49     1.92832     1.90696  0.00485527
          50     1.87639     1.90635   0.0047965
