#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0404573   0.0404573           0
           2   0.0468827     0.04367   0.0022717
           3     0.03708   0.0414733  0.00234745
           4   0.0338613   0.0395703  0.00241158
           5   0.0406613   0.0397885  0.00193911
           6    0.040324   0.0398778  0.00161798
           7   0.0359013   0.0393097  0.00148321
           8   0.0383307   0.0391873  0.00130285
           9   0.0435693   0.0396742  0.00124575
          10   0.0376147   0.0394683  0.00113807
          11    0.044188   0.0398973  0.00111256
          12   0.0403493    0.039935  0.00102048
          13   0.0393987   0.0398937 0.000942815
          14   0.0280707   0.0390492  0.00119528
          15   0.0330987   0.0386525  0.00117959
          16   0.0421267   0.0388697  0.00112567
          17   0.0298347   0.0383382  0.00117826
          18   0.0392707     0.03839  0.00111394
          19   0.0320427   0.0380559  0.00110427
          20    0.036364   0.0379713  0.00105229
          21   0.0319627   0.0376852  0.00104036
          22    0.038888   0.0377399 0.000994502
          23   0.0308533   0.0374405 0.000995315
          24    0.040928   0.0375858 0.000964393
          25   0.0306773   0.0373094 0.000964596
          26     0.03952   0.0373945 0.000931236
          27   0.0412133   0.0375359 0.000907423
          28    0.037084   0.0375198 0.000875159
          29     0.04162   0.0376611 0.000856326
          30    0.045564   0.0379246 0.000867355
          31   0.0400067   0.0379917 0.000841972
          32   0.0477507   0.0382967 0.000869137
          33    0.039288   0.0383267 0.000843319
          34    0.037636   0.0383064  0.00081876
          35     0.03364   0.0381731 0.000806149
          36    0.037852   0.0381642 0.000783805
          37   0.0294573   0.0379289 0.000797164
          38     0.03454   0.0378397 0.000781159
          39   0.0413973   0.0379309 0.000766437
          40   0.0378933     0.03793 0.000747276
          41    0.034468   0.0378455 0.000733805
          42    0.043968   0.0379913 0.000730669
          43   0.0365667   0.0379582 0.000714428
          44    0.031064   0.0378015 0.000715166
          45   0.0388707   0.0378252 0.000699668
          46   0.0338027   0.0377378 0.000689901
          47   0.0274813   0.0375196 0.000708896
          48   0.0357427   0.0374826 0.000695093
          49   0.0377613   0.0374882 0.000680931
          50   0.0394413   0.0375273 0.000668432
