#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.367816    0.367816           0
           2    0.371472    0.369644  0.00129274
           3    0.375212      0.3715  0.00174344
           4    0.377725    0.373056  0.00187775
           5    0.365968    0.371639  0.00196585
           6      0.3801    0.373049  0.00208349
           7     0.37057    0.372695  0.00181568
           8    0.362398    0.371408  0.00199337
           9    0.375597    0.371873  0.00182542
          10    0.371503    0.371836  0.00164326
          11    0.369054    0.371583  0.00151321
          12    0.370191    0.371467  0.00139156
          13    0.372939     0.37158  0.00128911
          14    0.377514    0.372004  0.00126478
          15    0.376382    0.372296  0.00121367
          16    0.369134    0.372099  0.00115379
          17    0.367623    0.371835  0.00111555
          18    0.369619    0.371712  0.00106035
          19    0.368374    0.371536  0.00101899
          20    0.363993    0.371159   0.0010355
          21     0.37435    0.371311 0.000997271
          22    0.368832    0.371199 0.000958285
          23    0.364437    0.370905 0.000960656
          24    0.371793    0.370942 0.000921342
          25    0.372375    0.370999 0.000886271
          26    0.373294    0.371087 0.000856569
          27    0.366048    0.370901 0.000844933
          28    0.377011    0.371119  0.00084247
          29    0.368361    0.371024  0.00081877
          30    0.369205    0.370963 0.000793718
          31    0.368719    0.370891 0.000771408
          32    0.369479    0.370847 0.000748563
          33    0.372262    0.370889 0.000727107
          34    0.369242    0.370841 0.000707335
          35    0.364322    0.370655 0.000711224
          36    0.376743    0.370824 0.000711291
          37    0.371808     0.37085 0.000692565
          38    0.374272     0.37094 0.000680168
          39    0.371926    0.370966 0.000663197
          40     0.37602    0.371092 0.000658545
          41    0.369979    0.371065 0.000643042
          42    0.374333    0.371143 0.000632421
          43    0.371583    0.371153 0.000617796
          44    0.366377    0.371044 0.000613218
          45    0.369026       0.371 0.000601229
          46    0.370351    0.370986 0.000588324
          47    0.368566    0.370934 0.000578054
          48     0.36609    0.370833 0.000574753
          49    0.375195    0.370922 0.000569875
          50    0.375117    0.371006 0.000564621
