#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.48234     4.48234           0
           2     4.53914     4.51074   0.0200826
           3     4.37307     4.46485   0.0397892
           4     4.43728     4.45796    0.030433
           5     4.35215      4.4368    0.030838
           6     4.42956     4.43559   0.0257218
           7     4.23052      4.4063   0.0349537
           8     4.28142     4.39069   0.0338913
           9     4.29198     4.37972   0.0318507
          10     4.32296     4.37404   0.0291669
          11     4.55526     4.39052   0.0308185
          12     4.52558     4.40177   0.0302358
          13     4.49453     4.40891   0.0287396
          14     4.29999     4.40113   0.0277198
          15      4.6393     4.41701   0.0300776
          16     4.22666     4.40511   0.0304597
          17     4.31784     4.39998   0.0290973
          18     4.34637       4.397   0.0276328
          19     4.33829     4.39391   0.0263506
          20     4.18751     4.38359   0.0269783
          21     4.47404      4.3879   0.0260351
          22     4.34854     4.38611   0.0249131
          23     4.39691     4.38658   0.0238343
          24     4.62986     4.39671   0.0249037
          25     4.44542     4.39866   0.0239836
          26     4.34491     4.39659   0.0231501
          27     4.54419     4.40206    0.022929
          28     4.50946      4.4059   0.0224287
          29     4.50502     4.40931   0.0219142
          30     4.44554     4.41052   0.0212169
          31      4.2489     4.40531   0.0211634
          32     4.31508     4.40249    0.020689
          33     4.37575     4.40168   0.0200779
          34     4.57824     4.40687   0.0201478
          35     4.32207     4.40445   0.0197172
          36     4.69464     4.41251   0.0207519
          37     4.39889     4.41214   0.0201943
          38     4.42893     4.41258   0.0196677
          39     4.22154     4.40768    0.019764
          40     4.37822     4.40695   0.0192836
          41     4.39423     4.40664   0.0188158
          42     4.31135     4.40437   0.0185041
          43     4.48874     4.40633   0.0181775
          44     4.26574     4.40314    0.018043
          45     4.43868     4.40393   0.0176594
          46     4.24562     4.40048   0.0176076
          47     4.36716     4.39977   0.0172473
          48     4.64108      4.4048   0.0176053
          49     4.56878     4.40815   0.0175612
          50     4.30286     4.40604   0.0173358
