#   N_BLOCK:  ACCEPTANCE:
           1    0.237197
           2    0.238097
           3    0.237969
           4    0.237443
           5    0.237992
           6    0.238275
           7    0.238204
           8    0.238211
           9    0.238211
          10    0.238076
          11    0.238025
          12    0.238089
          13    0.238033
          14    0.238013
          15    0.237982
          16    0.238078
          17    0.237988
          18    0.237969
          19    0.237914
          20    0.237987
          21    0.237985
          22    0.237943
          23    0.237991
          24    0.238095
          25     0.23809
          26    0.238043
          27    0.238038
          28    0.238079
          29    0.238044
          30    0.238093
          31    0.238159
          32     0.23824
          33    0.238154
          34    0.238153
          35    0.238099
          36    0.238088
          37    0.238106
          38    0.238089
          39    0.238152
          40     0.23815
          41    0.238158
          42      0.2382
          43    0.238181
          44    0.238187
          45    0.238205
          46      0.2382
          47    0.238215
          48    0.238199
          49    0.238166
          50    0.238155
