#   N_BLOCK:  ACCEPTANCE:
           1    0.444731
           2    0.446033
           3    0.445774
           4    0.446088
           5    0.445692
           6     0.44592
           7    0.445689
           8    0.445596
           9    0.445596
          10    0.445665
          11    0.445665
          12    0.445701
          13    0.445636
          14    0.445518
          15    0.445493
          16    0.445515
          17    0.445535
          18     0.44569
          19    0.445555
          20    0.445628
          21    0.445612
          22    0.445627
          23    0.445638
          24    0.445639
          25     0.44562
          26    0.445568
          27    0.445546
          28    0.445538
          29    0.445527
          30    0.445519
          31     0.44553
          32    0.445566
          33      0.4455
          34    0.445472
          35    0.445419
          36      0.4454
          37    0.445382
          38    0.445393
          39    0.445422
          40    0.445424
          41    0.445406
          42    0.445402
          43    0.445412
          44    0.445401
          45    0.445414
          46    0.445395
          47    0.445385
          48    0.445404
          49    0.445413
          50    0.445416
