#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555032   -0.555032           0
           2   -0.552656   -0.553844 0.000840043
           3   -0.556133   -0.554607 0.000837769
           4     -0.5528   -0.554155 0.000740184
           5   -0.556352   -0.554595 0.000710668
           6   -0.552624   -0.554266 0.000663796
           7   -0.554949   -0.554364 0.000576097
           8    -0.55536   -0.554488 0.000517368
           9   -0.554712   -0.554513 0.000460479
          10   -0.554011   -0.554463 0.000417164
          11   -0.554675   -0.554482 0.000379684
          12   -0.554531   -0.554486 0.000348065
          13   -0.554496   -0.554487 0.000321291
          14   -0.555931    -0.55459 0.000314456
          15   -0.554947   -0.554614 0.000294389
          16   -0.554544    -0.55461 0.000276022
          17   -0.553595    -0.55455 0.000266163
          18   -0.551645   -0.554388 0.000296277
          19   -0.556243   -0.554486 0.000296321
          20   -0.552464   -0.554385 0.000298254
          21   -0.555544    -0.55444 0.000289113
          22   -0.553051   -0.554377 0.000282786
          23   -0.553813   -0.554352 0.000271551
          24   -0.553581    -0.55432  0.00026213
          25   -0.554893   -0.554343 0.000252645
          26   -0.555843   -0.554401 0.000249423
          27   -0.554683   -0.554411 0.000240403
          28   -0.554485   -0.554414 0.000231832
          29   -0.555688   -0.554458 0.000227962
          30   -0.553773   -0.554435 0.000221503
          31   -0.554035   -0.554422 0.000214734
          32   -0.554261   -0.554417 0.000208082
          33   -0.556451   -0.554479 0.000210703
          34   -0.556067   -0.554525 0.000209618
          35   -0.556437    -0.55458 0.000210626
          36   -0.555197   -0.554597 0.000205472
          37   -0.555635   -0.554625 0.000201822
          38   -0.554627   -0.554625 0.000196511
          39   -0.553531   -0.554597 0.000193467
          40   -0.553904    -0.55458 0.000189405
          41   -0.554925   -0.554588 0.000184972
          42   -0.554491   -0.554586 0.000180583
          43    -0.55368   -0.554565 0.000177608
          44   -0.554261   -0.554558 0.000173706
          45   -0.555032   -0.554569 0.000170165
          46   -0.555339   -0.554585 0.000167287
          47   -0.555901   -0.554613 0.000166054
          48   -0.553368   -0.554587 0.000164609
          49   -0.553291   -0.554561 0.000163363
          50    -0.55432   -0.554556 0.000160167
