#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.23321     2.23321           0
           2     2.15958     2.19639   0.0260286
           3      2.1748      2.1892   0.0183206
           4     2.15587     2.18086     0.01552
           5     2.17063     2.17882   0.0125502
           6     2.23041     2.18742   0.0130765
           7     2.17062     2.18502   0.0114265
           8     2.18151     2.18458   0.0100066
           9      2.1862     2.18476  0.00889637
          10     2.19249     2.18553  0.00804022
          11     2.12791     2.18029  0.00885268
          12     2.15422     2.17812  0.00837727
          13      2.1665     2.17723  0.00778045
          14     2.19396     2.17842  0.00731593
          15     2.15047     2.17656  0.00706152
          16     2.27018     2.18241  0.00871342
          17      2.1472     2.18034  0.00844351
          18      2.1544      2.1789  0.00809642
          19     2.19173     2.17957   0.0076984
          20     2.18925     2.18006  0.00732868
          21      2.1838     2.18024  0.00698187
          22     2.10284     2.17672  0.00749868
          23      2.1858     2.17711  0.00718304
          24     2.19241     2.17775  0.00691197
          25     2.15729     2.17693  0.00668377
          26     2.16487     2.17647  0.00644278
          27     2.16321     2.17598  0.00622285
          28     2.10668      2.1735  0.00647401
          29        2.19     2.17407  0.00627572
          30     2.20748     2.17518  0.00616453
          31     2.20356      2.1761  0.00603324
          32     2.18091     2.17625  0.00584657
          33     2.17396     2.17618  0.00566982
          34     2.09803     2.17388  0.00595076
          35     2.19481     2.17448  0.00581071
          36     2.23413     2.17614  0.00588079
          37     2.12396     2.17473  0.00588848
          38      2.1315     2.17359  0.00584238
          39     2.17278     2.17357  0.00569261
          40     2.22113     2.17476  0.00567312
          41     2.17032     2.17465  0.00553578
          42     2.17358     2.17462  0.00540403
          43      2.1487     2.17402  0.00531188
          44     2.19471     2.17449  0.00521193
          45     2.25699     2.17632  0.00540892
          46     2.20095     2.17686  0.00531776
          47      2.2317     2.17803   0.0053311
          48     2.09114     2.17622  0.00551879
          49     2.16912     2.17607  0.00540806
          50      2.1944     2.17644  0.00531231
