#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.341841    0.341841           0
           2    0.341124    0.341483 0.000253247
           3    0.340514     0.34116 0.000312967
           4     0.34861    0.343022  0.00163009
           5    0.336053    0.341629  0.00180411
           6    0.349005    0.342858   0.0018761
           7    0.341735    0.342698  0.00161493
           8    0.335986    0.341859  0.00161634
           9     0.34586    0.342303  0.00149664
          10     0.34492    0.342565  0.00136966
          11    0.341752    0.342491  0.00124713
          12    0.343684     0.34259  0.00114716
          13     0.34256    0.342588  0.00105892
          14    0.348054    0.342979   0.0010528
          15     0.34511    0.343121 0.000992157
          16    0.336967    0.342736  0.00100193
          17    0.350837    0.343213  0.00105021
          18    0.340354    0.343054   0.0010038
          19    0.339121    0.342847 0.000972074
          20    0.337023    0.342556 0.000966105
          21    0.346092    0.342724 0.000934663
          22    0.344138    0.342788 0.000894386
          23    0.343983     0.34284 0.000857007
          24    0.344373    0.342904 0.000823676
          25    0.345468    0.343007  0.00079709
          26     0.34569     0.34311 0.000773083
          27    0.338036    0.342922 0.000766948
          28    0.347253    0.343077 0.000754993
          29    0.347249    0.343221 0.000742543
          30    0.343332    0.343224 0.000717801
          31    0.350735    0.343467 0.000734393
          32    0.345358    0.343526 0.000713817
          33    0.343266    0.343518  0.00069223
          34    0.343957    0.343531  0.00067199
          35    0.340597    0.343447 0.000657997
          36    0.345827    0.343513 0.000643033
          37    0.346026    0.343581 0.000629229
          38    0.344596    0.343608 0.000613237
          39     0.34535    0.343652 0.000599138
          40    0.348067    0.343763 0.000594239
          41    0.345779    0.343812 0.000581777
          42    0.349851    0.343956 0.000585423
          43    0.343962    0.343956 0.000571809
          44    0.341491      0.3439  0.00056155
          45    0.343239    0.343885 0.000549264
          46    0.345872    0.343928 0.000539019
          47    0.347442    0.344003  0.00053271
          48    0.346469    0.344054 0.000524083
          49    0.347733    0.344129 0.000518737
          50    0.336838    0.343984 0.000528461
