#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.61149     3.61149           0
           2     3.64626     3.62888   0.0122935
           3     3.56803     3.60859   0.0184783
           4     3.62774     3.61338   0.0144654
           5     3.69799      3.6303   0.0190531
           6     3.58838     3.62331   0.0171111
           7     3.41093     3.59297   0.0316881
           8     3.58476     3.59195   0.0277437
           9     3.54324     3.58654   0.0251835
          10     3.53317      3.5812   0.0232237
          11     3.71164     3.59306   0.0239495
          12      3.6648     3.59904   0.0226877
          13     3.44249     3.58699   0.0239256
          14     3.51691     3.58199   0.0227344
          15     3.72968     3.59183   0.0232532
          16     3.36537     3.57768   0.0257498
          17     3.58009     3.57782   0.0242355
          18     3.63051     3.58075   0.0230651
          19     3.57343     3.58036   0.0218544
          20     3.50586     3.57664   0.0210768
          21     3.61384     3.57841   0.0201474
          22     3.47427     3.57368   0.0197799
          23     3.61293     3.57538   0.0189934
          24     3.73186      3.5819   0.0192886
          25     3.47782     3.57774   0.0189611
          26     3.56933     3.57742   0.0182346
          27     3.57547     3.57734   0.0175594
          28        3.53     3.57565   0.0170134
          29     3.73182     3.58104    0.017258
          30     3.56399     3.58047   0.0166921
          31     3.51361     3.57831   0.0162923
          32     3.52302     3.57659   0.0158746
          33     3.67453     3.57955   0.0156686
          34     3.67454     3.58235   0.0154547
          35     3.44008     3.57828   0.0155385
          36     3.81029     3.58473   0.0163889
          37     3.58458     3.58472    0.015946
          38     3.67812     3.58718   0.0157146
          39     3.43285     3.58322    0.015802
          40     3.60911     3.58387   0.0154202
          41     3.63665     3.58516   0.0150977
          42     3.60601     3.58565   0.0147464
          43     3.55209     3.58487   0.0144241
          44      3.5247     3.58351    0.014161
          45     3.57008     3.58321   0.0138494
          46     3.50295     3.58146   0.0136578
          47     3.55381     3.58087   0.0133799
          48     3.64742     3.58226   0.0131728
          49     3.66713     3.58399   0.0130173
          50     3.52489     3.58281   0.0128105
