#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.430795    0.430795           0
           2    0.458359    0.444577  0.00974522
           3    0.439124     0.44276  0.00666416
           4    0.437993    0.441568  0.00510353
           5    0.427231    0.438701  0.00482155
           6    0.445151    0.439776   0.0041361
           7    0.423485    0.437448  0.00414861
           8     0.44659    0.438591  0.00378414
           9    0.421552    0.436698  0.00380792
          10    0.446994    0.437728   0.0035636
          11    0.440563    0.437985  0.00324894
          12    0.436789    0.437886  0.00297973
          13    0.436975    0.437815  0.00275134
          14     0.43533    0.437638  0.00256054
          15    0.427224    0.436944  0.00248217
          16    0.424042    0.436137  0.00245451
          17    0.436727    0.436172  0.00231038
          18    0.442149    0.436504  0.00220575
          19    0.422248    0.435754  0.00221359
          20    0.431027    0.435517   0.0021155
          21    0.437385    0.435606  0.00201663
          22    0.433039     0.43549  0.00192834
          23    0.445947    0.435944  0.00189734
          24    0.410204    0.434872  0.00209965
          25    0.449847    0.435471  0.00209937
          26    0.422184     0.43496  0.00207989
          27    0.426543    0.434648  0.00202608
          28    0.424797    0.434296  0.00198404
          29    0.443047    0.434598  0.00193843
          30    0.449332    0.435089  0.00193503
          31    0.442457    0.435327  0.00188715
          32    0.449905    0.435782  0.00188237
          33    0.416713    0.435204  0.00191197
          34    0.435534    0.435214  0.00185576
          35    0.451472    0.435679  0.00185997
          36    0.451831    0.436127  0.00186163
          37    0.436571    0.436139  0.00181136
          38    0.428016    0.435926  0.00177626
          39    0.434159     0.43588  0.00173129
          40    0.437431    0.435919  0.00168844
          41    0.447949    0.436212  0.00167256
          42    0.450569    0.436554   0.0016673
          43       0.463    0.437169  0.00173826
          44    0.445684    0.437363  0.00170949
          45    0.440493    0.437432  0.00167292
          46    0.431219    0.437297    0.001642
          47    0.441699    0.437391  0.00160973
          48    0.419326    0.437015  0.00161959
          49    0.429276    0.436857  0.00159422
          50    0.452806    0.437176  0.00159393
