#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.1439     15.1439           0
           2     14.7882      14.966    0.125753
           3      14.582      14.838    0.133995
           4     16.1995     15.1784    0.311427
           5     15.1539     15.1735     0.24918
           6     15.2218     15.1815     0.20778
           7     14.2269     15.0452    0.218315
           8      14.883     15.0249    0.191964
           9     14.1414     14.9267    0.194117
          10     14.7921     14.9133    0.175171
          11     16.5089     15.0583    0.210921
          12     14.9994     15.0534    0.193401
          13     15.6944     15.1027    0.184703
          14     14.5755     15.0651    0.175307
          15     15.3214     15.0822    0.164451
          16     14.0524     15.0178    0.166291
          17     16.6308     15.1127    0.181571
          18     15.6515     15.1426    0.173934
          19     13.8576      15.075    0.177442
          20      14.916      15.067    0.168747
          21     15.1215     15.0696    0.160732
          22     14.6576     15.0509    0.154513
          23     14.7313      15.037    0.148418
          24     13.7895      14.985    0.151062
          25     15.8777     15.0207    0.149179
          26     14.2932     14.9928    0.146043
          27     14.4417     14.9723    0.142053
          28     14.6261       14.96    0.137516
          29     14.8579     14.9565    0.132819
          30     15.6212     14.9786    0.130227
          31      15.966     15.0105    0.129864
          32     16.5931     15.0599    0.134895
          33     15.4951     15.0731     0.13145
          34     15.4031     15.0828    0.127942
          35     14.3034     15.0606    0.126209
          36     14.7605     15.0522    0.122979
          37     14.8488     15.0467    0.119778
          38     14.2137     15.0248    0.118614
          39     16.4406     15.0611    0.121001
          40     14.9754      15.059    0.117995
          41     15.9189     15.0799    0.116966
          42     14.6489     15.0697    0.114631
          43     16.1806     15.0955    0.114839
          44     15.0929     15.0954     0.11223
          45     15.7779     15.1106    0.110756
          46     14.4508     15.0963    0.109273
          47     15.7865      15.111     0.10793
          48     14.4075     15.0963    0.106672
          49     14.5515     15.0852    0.105073
          50     15.5791     15.0951    0.103435
