#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.290936    0.290936           0
           2    0.320579    0.305757   0.0104803
           3    0.275344     0.29562    0.010832
           4    0.254859    0.285429    0.011995
           5    0.308995    0.290142   0.0104811
           6    0.293101    0.290636  0.00874585
           7    0.284405    0.289746  0.00754159
           8    0.320681    0.293613  0.00752527
           9    0.289697    0.293177  0.00670169
          10    0.289501     0.29281   0.0060416
          11    0.243861     0.28836  0.00694026
          12    0.299548    0.289292  0.00642422
          13    0.281689    0.288707  0.00595662
          14    0.285192    0.288456  0.00553643
          15    0.305287    0.289578  0.00527981
          16    0.329256    0.292058  0.00550146
          17    0.310235    0.293127  0.00528072
          18    0.313485    0.294258  0.00510702
          19    0.327461    0.296006  0.00512851
          20    0.342647    0.298338  0.00537621
          21    0.274537    0.297205   0.0052383
          22    0.327401    0.298577   0.0051769
          23    0.269696    0.297322  0.00510184
          24    0.283719    0.296755  0.00492064
          25    0.263913    0.295441  0.00489603
          26    0.306904    0.295882  0.00472753
          27    0.345036    0.297702  0.00489042
          28    0.307991     0.29807  0.00472955
          29    0.281201    0.297488  0.00460209
          30    0.298027    0.297506  0.00444872
          31    0.302319    0.297661  0.00430792
          32    0.297521    0.297657   0.0041733
          33    0.295905    0.297604  0.00404718
          34    0.327292    0.298477  0.00402123
          35    0.261121     0.29741   0.0040455
          36    0.266548    0.296553  0.00402293
          37    0.307731    0.296855  0.00392553
          38    0.280136    0.296415  0.00384681
          39    0.295393    0.296389  0.00374826
          40    0.302221    0.296534  0.00365739
          41    0.234784    0.295028  0.00386587
          42    0.289459    0.294896   0.0037761
          43    0.296121    0.294924  0.00368839
          44    0.276231    0.294499  0.00362895
          45    0.279327    0.294162  0.00356394
          46    0.285365    0.293971  0.00349159
          47    0.301085    0.294122  0.00342058
          48    0.274405    0.293711  0.00337389
          49    0.296029    0.293759  0.00330537
          50    0.299899    0.293882  0.00324154
